	pi=0	pi=1	pi=2	pi=3	qi=0	qi=1	qi=2	qi=3
pj=0	NA	HT0=p0*p1/2 + p0*p1/2	NA	HT0=p0*p1/2 + p0*p1/3	NA	hT1=p0*q1*(1-r)*(1-e)/2 ; HT0=p0*q1*(e-e*r+r)/2 ; HT1=p0*q1*(1-r+e*r)/2 ; hT0=p0*q1*r*(1-e)/2	hT2=p0*q2*(1-r)*(1-e)/2 ; HT0=p0*q2*(e-e*r+r)/2 ; HT2=p0*q2*(1-r+e*r)/2 ; hT0=p0*q2*r*(1-e)/2	hT3=p0*q3*(1-r)*(1-e)/2 ; HT0=p0*q3*(e-e*r+r)/2 ; HT3=p0*q3*(1-r+e*r)/2 ; hT0=p0*q3*r*(1-e)/2
pj=1	HT0=p1*p0/2 + p1*p0/2	HT0=p1*p1/2 + p1*p1/2	HT0=p1*p0/2 + p1*p0/3	HT0=p1*p1/2 + p1*p1/3	hT0=p1*q0*(1-r)*(1-e)/2 ; HT1=p1*q0*(e-e*r+r)/2 ; HT0=p1*q0*(1-r+e*r)/2 ; hT1=p1*q0*r*(1-e)/2	HT1=q1*p1*r*(1-e)/2 + q1*p1*(1-r)*(1-e)/2 ; hT1=q1*p1*(1-r)*(1-e)/2 + q1*p1*r*(1-e)/2 ; HT0=q1*p1*((1-r)*e+r*e)/2 + q1*p1*((1-r)*e+r*e)/2	hT2=q1*p2*r*(1-e)/2 ; HT2=q1*p2*(1-r)*(1-e)/2 ; HT1=q1*p2*r*(1-e)/2 + q1*p2*((1-r)*e+r*e)/2 ; hT1=q1*p2*(1-r)*(1-e)/2 ; HT0=q1*p2*((1-r)*e+r*e)/2	hT1=q1*p3*(1-r)*(1-e)/2 ; HT3=q1*p3*(1-r)*(1-e)/2 ; HT2=q1*p3*((1-r)*e+r*e)/2 ; HT1=q1*p3*r*(1-e)/2 ; HT0=q1*p3*((1-r)*e+r*e)/2 ; hT3=q1*p3*r*(1-e)/2
pj=2	HT1=p2*p0/2 ; HT0=p2*p0/2	HT1=p2*p1/2 ; HT0=p2*p1/2	HT1=p2*p0/2 ; HT0=p2*p0/3	HT1=p2*p1/2 ; HT0=p2*p1/3	hT0=p2*q0*(1-r)*(1-e)/2 ; HT2=p2*q0*(e-e*r+r)/2 ; HT0=p2*q0*(1-r+e*r)/2 ; hT2=p2*q0*r*(1-e)/2	hT1=q2*p1*r*(1-e)/2 ; HT0=q2*p1*((1-r)*e+r*e)/2 ; hT2=q2*p1*(1-r)*(1-e)/2 ; HT1=q2*p1*((1-r)*e+r*e)/2 + q2*p1*(1-r)*(1-e)/2 ; HT2=q2*p1*r*(1-e)/2	hT2=q2*p2*(1-r)*(1-e)/2 + q2*p2*r*(1-e)/2 ; HT1=q2*p2*((1-r)*e+r*e)/2 + q2*p2*((1-r)*e+r*e)/2 ; HT2=q2*p2*r*(1-e)/2 + q2*p2*(1-r)*(1-e)/2	HT3=q2*p3*(1-r)*(1-e)/2 ; hT3=q2*p3*r*(1-e)/2 ; hT2=q2*p3*(1-r)*(1-e)/2 ; HT1=q2*p3*((1-r)*e+r*e)/2 ; HT2=q2*p3*r*(1-e)/2 + q2*p3*((1-r)*e+r*e)/2
pj=3	HT2=p3*p0/2 ; HT0=p3*p0/2	HT2=p3*p1/2 ; HT0=p3*p1/2	HT2=p3*p0/2 ; HT0=p3*p0/3	HT2=p3*p1/2 ; HT0=p3*p1/3	hT0=p3*q0*(1-r)*(1-e)/2 ; HT3=p3*q0*(e-e*r+r)/2 ; HT0=p3*q0*(1-r+e*r)/2 ; hT3=p3*q0*r*(1-e)/2	hT1=q3*p1*r*(1-e)/2 ; HT3=q3*p1*r*(1-e)/2 ; HT2=q3*p1*((1-r)*e+r*e)/2 ; HT1=q3*p1*(1-r)*(1-e)/2 ; HT0=q3*p1*((1-r)*e+r*e)/2 ; hT3=q3*p1*(1-r)*(1-e)/2	HT3=q3*p2*r*(1-e)/2 ; hT3=q3*p2*(1-r)*(1-e)/2 ; HT2=q3*p2*((1-r)*e+r*e)/2 + q3*p2*(1-r)*(1-e)/2 ; HT1=q3*p2*((1-r)*e+r*e)/2 ; hT2=q3*p2*r*(1-e)/2	HT3=q3*p3*r*(1-e)/2 + q3*p3*(1-r)*(1-e)/2 ; hT3=q3*p3*(1-r)*(1-e)/2 + q3*p3*r*(1-e)/2 ; HT2=q3*p3*((1-r)*e+r*e)/2 + q3*p3*((1-r)*e+r*e)/2
qj=0	NA	hT0=q0*p1*(1-r)*(1-e)/2 ; HT1=q0*p1*(e-e*r+r)/2 ; HT0=q0*p1*(1-r+e*r)/2 ; hT1=q0*p1*r*(1-e)/2	hT0=q0*p2*(1-r)*(1-e)/2 ; HT2=q0*p2*(e-e*r+r)/2 ; HT0=q0*p2*(1-r+e*r)/2 ; hT2=q0*p2*r*(1-e)/2	hT0=q0*p3*(1-r)*(1-e)/2 ; HT3=q0*p3*(e-e*r+r)/2 ; HT0=q0*p3*(1-r+e*r)/2 ; hT3=q0*p3*r*(1-e)/2	NA	hT1=q0*q1/2 ; hT0=q0*q1/2	hT2=q0*q2/2 ; hT0=q0*q2/2	hT3=q0*q3/2 ; hT0=q0*q3/2
qj=1	hT1=q1*p0*(1-r)*(1-e)/2 ; HT0=q1*p0*(e-e*r+r)/2 ; HT1=q1*p0*(1-r+e*r)/2 ; hT0=q1*p0*r*(1-e)/2	HT1=q1*p1*r*(1-e)/2 + q1*p1*(1-r)*(1-e)/2 ; hT1=q1*p1*(1-r)*(1-e)/2 + q1*p1*r*(1-e)/2	hT2=q1*p2*r*(1-e)/2 ; HT2=q1*p2*(1-r)*(1-e)/2 ; HT1=q1*p2*r*(1-e)/2 + q1*p2*((1-r)*e+r*e)/2 ; hT1=q1*p2*(1-r)*(1-e)/2 ; HT0=q1*p2*((1-r)*e+r*e)/2	hT1=q1*p3*(1-r)*(1-e)/2 ; HT3=q1*p3*(1-r)*(1-e)/2 ; HT2=q1*p3*((1-r)*e+r*e)/2 ; HT1=q1*p3*r*(1-e)/2 ; HT0=q1*p3*((1-r)*e+r*e)/2 ; hT3=q1*p3*r*(1-e)/2	hT1=q1*q0/2 ; hT0=q1*q0/2	hT1=q1*q1/2 + q1*q1/2	hT2=q1*q2/2 ; hT1=q1*q2/2	hT3=q1*q3/2 ; hT1=q1*q3/2
qj=2	hT2=q2*p0*(1-r)*(1-e)/2 ; HT0=q2*p0*(e-e*r+r)/2 ; HT2=q2*p0*(1-r+e*r)/2 ; hT0=q2*p0*r*(1-e)/2	hT1=q2*p1*r*(1-e)/2 ; HT0=q2*p1*((1-r)*e+r*e)/2 ; hT2=q2*p1*(1-r)*(1-e)/2 ; HT1=q2*p1*((1-r)*e+r*e)/2 + q2*p1*(1-r)*(1-e)/2 ; HT2=q2*p1*r*(1-e)/2	hT2=q2*p2*(1-r)*(1-e)/2 + q2*p2*r*(1-e)/2 ; HT1=q2*p2*((1-r)*e+r*e)/2 + q2*p2*((1-r)*e+r*e)/2 ; HT2=q2*p2*r*(1-e)/2 + q2*p2*(1-r)*(1-e)/2	HT3=q2*p3*(1-r)*(1-e)/2 ; hT3=q2*p3*r*(1-e)/2 ; hT2=q2*p3*(1-r)*(1-e)/2 ; HT1=q2*p3*((1-r)*e+r*e)/2 ; HT2=q2*p3*r*(1-e)/2 + q2*p3*((1-r)*e+r*e)/2	hT2=q2*q0/2 ; hT0=q2*q0/2	hT2=q2*q1/2 ; hT1=q2*q1/2	hT2=q2*q2/2 + q2*q2/2	hT3=q2*q3/2 ; hT2=q2*q3/2
qj=3	hT3=q3*p0*(1-r)*(1-e)/2 ; HT0=q3*p0*(e-e*r+r)/2 ; HT3=q3*p0*(1-r+e*r)/2 ; hT0=q3*p0*r*(1-e)/2	hT1=q3*p1*r*(1-e)/2 ; HT3=q3*p1*r*(1-e)/2 ; HT2=q3*p1*((1-r)*e+r*e)/2 ; HT1=q3*p1*(1-r)*(1-e)/2 ; HT0=q3*p1*((1-r)*e+r*e)/2 ; hT3=q3*p1*(1-r)*(1-e)/2	HT3=q3*p2*r*(1-e)/2 ; hT3=q3*p2*(1-r)*(1-e)/2 ; HT2=q3*p2*((1-r)*e+r*e)/2 + q3*p2*(1-r)*(1-e)/2 ; HT1=q3*p2*((1-r)*e+r*e)/2 ; hT2=q3*p2*r*(1-e)/2	HT3=q3*p3*r*(1-e)/2 + q3*p3*(1-r)*(1-e)/2 ; hT3=q3*p3*(1-r)*(1-e)/2 + q3*p3*r*(1-e)/2 ; HT2=q3*p3*((1-r)*e+r*e)/2 + q3*p3*((1-r)*e+r*e)/2	hT3=q3*q0/2 ; hT0=q3*q0/2	hT3=q3*q1/2 ; hT1=q3*q1/2	hT3=q3*q2/2 ; hT2=q3*q2/2	hT3=q3*q3/2 + q3*q3/2


