"","pi=0","pi=1","pi=2","pi=3","qi=0","qi=1","qi=2","qi=3"
"pj=0",NA,NA,NA,NA,NA,NA,NA,NA
"pj=1",NA,"HT0=p1*p1/2 
 HT0=p1*p1/2","HT0=p1*p2/2 
 HT1=p1*p2/2","HT0=p1*p3/2 
 HT2=p1*p3/2",NA,"hT1=q1*p1*(1-r)*(1-e)/2 
 HT1=q1*p1*r*(1-e)/2 
 HT0=q1*p1*((1-r)*e+r*e)/2 
 hT1=q1*p1*r*(1-e)/2 
 HT1=q1*p1*(1-r)*(1-e)/2 
 HT0=q1*p1*((1-r)*e+r*e)/2","hT1=q1*p2*(1-r)*(1-e)/2 
 HT1=q1*p2*r*(1-e)/2 
 HT0=q1*p2*((1-r)*e+r*e)/2 
 hT2=q1*p2*r*(1-e)/2 
 HT2=q1*p2*(1-r)*(1-e)/2 
 HT1=q1*p2*((1-r)*e+r*e)/2","hT1=q1*p3*(1-r)*(1-e)/2 
 HT1=q1*p3*r*(1-e)/2 
 HT0=q1*p3*((1-r)*e+r*e)/2 
 hT3=q1*p3*r*(1-e)/2 
 HT3=q1*p3*(1-r)*(1-e)/2 
 HT2=q1*p3*((1-r)*e+r*e)/2"
"pj=2",NA,"HT1=p2*p1/2 
 HT0=p2*p1/2","HT1=p2*p2/2 
 HT1=p2*p2/2","HT1=p2*p3/2 
 
 HT2=p2*p3/2",NA,"hT2=q2*p1*(1-r)*(1-e)/2 
 HT2=q2*p1*r*(1-e)/2 
 HT1=q2*p1*((1-r)*e+r*e)/2 
 hT1=q2*p1*r*(1-e)/2 
 HT1=q2*p1*(1-r)*(1-e)/2 
 HT0=q2*p1*((1-r)*e+r*e)/2","hT2=q2*p2*(1-r)*(1-e)/2 
 HT2=q2*p2*r*(1-e)/2 
 HT1=q2*p2*((1-r)*e+r*e)/2 
 hT2=q2*p2*r*(1-e)/2 
 HT2=q2*p2*(1-r)*(1-e)/2 
 HT1=q2*p2*((1-r)*e+r*e)/2","hT2=q2*p3*(1-r)*(1-e)/2 
 HT2=q2*p3*r*(1-e)/2 
 HT1=q2*p3*((1-r)*e+r*e)/2 
 hT3=q2*p3*r*(1-e)/2 
 HT3=q2*p3*(1-r)*(1-e)/2 
 HT2=q2*p3*((1-r)*e+r*e)/2"
"pj=3",NA,"HT2=p3*p1/2 
 HT0=p3*p1/2","HT2=p3*p2/2 
 HT1=p3*p2/2","HT2=p3*p3/2 
 HT2=p3*p3/2",NA,"hT3=q3*p1*(1-r)*(1-e)/2 
 HT3=q3*p1*r*(1-e)/2 
 HT2=q3*p1*((1-r)*e+r*e)/2 
 hT1=q3*p1*r*(1-e)/2 
 HT1=q3*p1*(1-r)*(1-e)/2 
 HT0=q3*p1*((1-r)*e+r*e)/2","hT3=q3*p2*(1-r)*(1-e)/2 
 HT3=q3*p2*r*(1-e)/2 
 HT2=q3*p2*((1-r)*e+r*e)/2 
 hT2=q3*p2*r*(1-e)/2 
 HT2=q3*p2*(1-r)*(1-e)/2 
 HT1=q3*p2*((1-r)*e+r*e)/2","hT3=q3*p3*(1-r)*(1-e)/2 
 HT3=q3*p3*r*(1-e)/2 
 HT2=q3*p3*((1-r)*e+r*e)/2 
 hT3=q3*p3*r*(1-e)/2 
 HT3=q3*p3*(1-r)*(1-e)/2 
 HT2=q3*p3*((1-r)*e+r*e)/2"
"qj=0",NA,NA,NA,NA,NA,NA,NA,NA
"qj=1",NA,"hT1=q1*p1*(1-r)*(1-e)/2 
 HT1=q1*p1*r*(1-e)/2 
 HT0=q1*p1*((1-r)*e+r*e)/2 
 hT1=q1*p1*r*(1-e)/2 
 HT1=q1*p1*(1-r)*(1-e)/2 
 HT0=q1*p1*((1-r)*e+r*e)/2","hT1=q1*p2*(1-r)*(1-e)/2 
 HT1=q1*p2*r*(1-e)/2 
 HT0=q1*p2*((1-r)*e+r*e)/2 
 hT2=q1*p2*r*(1-e)/2 
 HT2=q1*p2*(1-r)*(1-e)/2 
 HT1=q1*p2*((1-r)*e+r*e)/2","hT1=q1*p3*(1-r)*(1-e)/2 
 HT1=q1*p3*r*(1-e)/2 
 HT0=q1*p3*((1-r)*e+r*e)/2 
 hT3=q1*p3*r*(1-e)/2 
 HT3=q1*p3*(1-r)*(1-e)/2 
 HT2=q1*p3*((1-r)*e+r*e)/2",NA,"hT1=q1*q1/2 
 hT1=q1*q1/2","hT1=q1*q2/2 
 hT2=q1*q2/2","hT1=q1*q3/2 
 hT3=q1*q3/2"
"qj=2",NA,"hT2=q2*p1*(1-r)*(1-e)/2 
 HT2=q2*p1*r*(1-e)/2 
 HT1=q2*p1*((1-r)*e+r*e)/2 
 hT1=q2*p1*r*(1-e)/2 
 HT1=q2*p1*(1-r)*(1-e)/2 
 HT0=q2*p1*((1-r)*e+r*e)/2","hT2=q2*p2*(1-r)*(1-e)/2 
 HT2=q2*p2*r*(1-e)/2 
 HT1=q2*p2*((1-r)*e+r*e)/2 
 hT2=q2*p2*r*(1-e)/2 
 HT2=q2*p2*(1-r)*(1-e)/2 
 HT1=q2*p2*((1-r)*e+r*e)/2","hT2=q2*p3*(1-r)*(1-e)/2 
 HT2=q2*p3*r*(1-e)/2 
 HT1=q2*p3*((1-r)*e+r*e)/2 
 hT3=q2*p3*r*(1-e)/2 
 HT3=q2*p3*(1-r)*(1-e)/2 
 HT2=q2*p3*((1-r)*e+r*e)/2",NA,"hT2=q2*q1/2 
 hT1=q2*q1/2","hT2=q2*q2/2 
 hT2=q2*q2/2","hT2=q2*q3/2 
 hT3=q2*q3/2"
"qj=3",NA,"hT3=q3*p1*(1-r)*(1-e)/2 
 HT3=q3*p1*r*(1-e)/2 
 HT2=q3*p1*((1-r)*e+r*e)/2 
 hT1=q3*p1*r*(1-e)/2 
 HT1=q3*p1*(1-r)*(1-e)/2 
 HT0=q3*p1*((1-r)*e+r*e)/2","hT3=q3*p2*(1-r)*(1-e)/2 
 HT3=q3*p2*r*(1-e)/2 
 HT2=q3*p2*((1-r)*e+r*e)/2 
 hT2=q3*p2*r*(1-e)/2 
 HT2=q3*p2*(1-r)*(1-e)/2 
 HT1=q3*p2*((1-r)*e+r*e)/2","hT3=q3*p3*(1-r)*(1-e)/2 
 HT3=q3*p3*r*(1-e)/2 
 HT2=q3*p3*((1-r)*e+r*e)/2 
 hT3=q3*p3*r*(1-e)/2 
 HT3=q3*p3*(1-r)*(1-e)/2 
 HT2=q3*p3*((1-r)*e+r*e)/2",NA,"hT3=q3*q1/2 
 hT1=q3*q1/2","hT3=q3*q2/2 
 hT2=q3*q2/2","hT3=q3*q3/2 
 hT3=q3*q3/2"
